theta1;theta2;theta3;theta4;theta5;theta6;theta7;theta8;y
-12.981.562;12.283.273;-0.6751035;11.444.855;0.29000146;0.72657973;-0.49819968;15.542.213;0.9507106
0.2490295;10.910.774;0.96807401;-0.60483908;14.442.506;0.25491118;-0.89765176;-0.54494147;0.8725163
0.83731287;0.26184377;0.11151799;0.66337767;-15.662.173;-0.84013846;-0.90513622;-10.886.411;0.61065876
15.239.609;-0.56304598;-12.480.308;-0.12387938;-0.0090145297;1.251.811;-10.328.978;-0.15501687;0.97770841
-0.19488433;-0.63671812;0.7608817;0.83523856;-0.71075389;-0.059244157;0.52756777;-0.98820186;0.24410835
12.601.832;-10.569.272;-12.849.658;12.185.343;-13.054.105;0.16832417;12.570.317;0.89169707;0.53916883
-0.71827119;-1.210.147;-11.117.276;-0.13622601;0.84926807;-15.506.089;-0.27885083;13.557.077;0.73839826
11.567.562;-0.26969972;13.877.829;0.67055643;1.393.014;15.681.108;0.61031144;-0.59275875;0.4033455
14.253.075;0.47492737;12.834.498;11.490.669;12.381.176;0.41763796;0.20430951;-0.50604101;0.51665614
0.49948691;-0.68269653;0.76532621;0.99765922;-0.86663292;0.9231912;0.069091885;-0.73987314;0.36598749
0.54100903;-0.98413634;11.573.147;0.9785962;-10.759.442;-0.25159909;-11.619.679;-0.6241632;0.63318943
0.96970126;0.10591977;13.879.962;10.287.348;-0.38705854;-0.042176428;-10.542.679;-0.5329555;0.46757246
-0.81361517;-1.089.466;-14.150.353;-13.797.448;0.94547765;11.407.171;-0.49776451;-0.7024194;12.972.779
0.9226868;-14.527.653;-0.64266545;-12.760.307;0.46715844;-11.068.526;0.13308724;0.54233658;0.68316951
0.69568688;-0.1674653;-0.48275555;14.047.806;0.69183203;-15.019.965;-0.016808894;12.905.852;0.63491117
-0.59839371;0.27768095;10.612.196;10.790.471;0.58652909;-13.583.401;0.23625131;13.096.043;0.71528738
-0.96493618;-1.422.994;10.962.863;-0.86944577;-0.52329083;0.33111;-0.29727936;0.52211825;0.83522131
-0.78102596;0.68515145;-0.15706727;-12.277.083;15.103.949;12.051.119;-12.418.586;0.77317631;0.92388166
-1.129.158;14.033.198;-0.89172497;-0.11345107;11.383.679;0.46746876;0.82459791;11.469.613;10.106.791
0.60272859;-14.810.481;13.169.321;0.17466607;0.24980361;-0.37577986;14.519.318;0.16636029;0.41848675
156.477;-11.373.719;11.575.126;13.651.562;12.814.652;-11.309.486;-12.735.039;-0.00013960408;0.63219011
0.81725568;0.78166055;-15.683.847;11.282.652;-11.735.348;-12.176.751;-0.10918908;0.79526691;0.91029871
0.57314811;-0.77155247;12.614.838;0.10053708;-0.68033342;-11.309.486;-0.45080641;-14.257.044;0.46498505
0.77725617;10.121.853;-0.85087476;-0.45015056;10.335.431;-1.217.085;0.81807972;-0.88746565;11.440.411
0.60226214;0.073584202;-0.12225769;-0.72532862;0.89351448;-0.63801096;-12.851.535;0.64680914;0.49380575
0.0083061248;-10.578.175;-0.18339996;-12.186.135;0.48495739;-0.79445367;-11.248.776;1.010.602;0.29995859
13.709.631;-0.46513215;-0.50069423;-11.938.466;13.875.525;-0.61412491;0.28658848;-14.033.887;0.98585939
1.336.612;-11.934.579;11.587.622;0.37186362;0.55284338;-14.654.548;0.63100319;0.32308634;0.67006329
-10.906.211;0.62289129;0.58287762;12.840.669;-11.924.486;0.18704553;-0.74617832;14.400.003;0.76635082
11.248.696;11.471.744;0.93833289;-1.429.743;-12.647.962;-1.059.967;0.21892763;-0.74475971;0.37018545
-0.420712;0.60602559;-0.23428149;0.35194668;-14.142.302;11.067.569;0.71167606;-10.713.468;0.73885135
0.81841984;0.4287883;-11.533.903;-0.45113292;0.32325321;-0.10770709;10.962.996;14.828.263;0.87271994
12.895.715;-0.16856015;-14.037.208;-15.279.837;11.030.031;-0.67569014;0.067045646;-0.39352182;12.101.775
-0.019341125;0.72617754;10.250.364;-14.437.205;-0.36500359;0.53333445;-0.9955894;-0.86874928;0.65901742
-14.822.462;-0.22155711;-0.70663467;1.050.782;0.9150408;0.78826983;-0.74862798;10.535.348;12.782.674
0.71840549;-0.92309303;-11.887.368;-15.405.434;0.99461683;0.35479242;-0.11184007;0.74254732;1.232.506
11.004.285;-12.401.144;14.293.728;10.944.344;0.11060922;0.2533529;-10.237.299;-15.547.732;0.31687923
0.34518385;-12.766.712;-0.2908882;0.13423495;-0.81374977;12.441.121;0.67395375;0.69429696;0.58320011
-10.166.136;0.065451023;-0.63988212;0.42332742;-1.339.612;-0.64889793;-14.425.096;11.738.157;10.815.363
0.89803194;0.4779135;-0.82711325;-0.84348317;0.93625484;-15.594.916;-0.58754561;-0.88099074;0.64512342
10.116.891;-0.76016361;0.25514625;-15.555.661;-0.60247931;-0.068468369;-0.85337852;-0.48525995;0.50197572
11.597.636;0.78745047;-0.031024924;-0.065334563;-0.51659449;-0.92496652;-1.362.287;-0.1894806;0.66586121
-14.350.732;-0.84984399;0.068488088;14.794.294;0.95853192;-13.118.677;-0.030530709;0.97458018;10.233.186
-1.268.705;14.938.179;12.563.783;-0.93554714;-0.041203207;-0.86319217;-10.500.236;-0.49499833;0.61820368
-11.359.382;-10.118.413;13.051.019;-0.069630154;-13.519.154;0.20409243;-14.205.954;-0.49962989;0.79718891
-0.25423408;-0.57487764;0.24787313;15.400.587;14.973.396;-0.43769666;0.15774987;0.19757194;0.90126485
-0.34611528;15.704.756;0.25184124;0.18453375;-15.125.414;1.242.313;-0.20210524;-0.071791304;0.32756354
10.701.116;-0.67728685;0.97048902;0.70680896;0.48503143;0.52993076;-0.72117133;-0.22486784;0.56007087
-0.2519096;-11.698.905;-0.14001449;0.97639707;-0.50970329;0.13110235;-0.46208085;-0.0178874;0.71021919
10.222.145;0.87883829;-0.17058925;-13.745.017;0.54002611;11.807.349;-0.1758082;0.95936306;0.94572054
-10.105.202;-11.335.445;11.805.712;-11.188.376;0.15765384;-0.83005192;14.302.727;13.614.344;0.77429141
-0.36313658;-0.86407675;-0.43852017;12.706.101;13.255.302;11.304.209;-0.87343041;14.094.052;11.777.249
0.87806924;10.448.993;-0.032175823;-14.022.753;11.528.223;-13.686.017;0.91754798;0.26505578;0.96371941
-14.926.249;0.11893469;-0.42512552;0.18650378;12.828.869;0.65195611;-0.84951065;0.01411869;13.565.147
-0.92883596;0.88239221;-11.029.548;-0.74041846;0.72909703;-0.44889122;0.81311115;-14.682.119;0.8543666
-0.37215369;-10.930.789;11.761.374;-0.36450924;-14.191.462;-15.507.029;0.030991863;0.97350682;0.56461982
0.1239557;0.65675747;0.44096749;-0.20111051;-0.61867536;-0.011743848;-0.62413567;0.31463599;0.68549301
0.44757736;-14.338.174;0.32353014;0.28939366;0.5949141;0.54148853;-0.070346124;0.78673128;0.96547168
14.598.575;0.98879892;-0.52576392;0.65378253;-0.96808903;-0.39620747;-10.684.655;-0.37089208;0.81124256
-0.014318474;-0.28167491;0.78598509;-11.681.839;-0.36395543;1.117.423;-0.35572821;-0.66333295;0.67830796
12.520.448;0.26998758;-0.34567354;12.865.561;-0.31796163;0.08713178;-0.27319866;0.87543828;0.7922505
0.72911773;12.215.405;-0.93032064;-0.43322592;-0.13206986;0.44165777;13.585.249;14.127.914;0.69188636
-10.712.118;0.12384087;-0.19231383;0.98367835;1.407.788;-0.64131529;-0.36666733;0.62835628;11.253.906
0.61044139;-14.824.737;0.48024171;-15.200.726;13.592.018;0.218395;12.269.922;-1.250.528;0.70794255
-0.75309812;0.035793419;0.67081455;-0.42802278;-15.573.222;11.845.999;0.64320027;-0.36850493;0.41866019
0.15665407;15.358.009;-0.79591691;0.4682623;-13.056.755;12.986.304;0.046589629;-13.832.774;10.068.682
0.23036045;0.88116178;-0.074007872;0.39491592;-0.46388439;14.376.239;0.7753221;-0.95749764;0.79676584
12.259.607;0.21828729;0.22038353;-0.83336186;0.92807851;0.15649122;-0.48779731;-14.253.291;0.74190441
-0.98543937;-0.62576032;0.048327656;-10.927.628;0.20805029;0.6348251;1.147.387;-0.86148521;0.63655067
0.19704463;0.89857695;-14.295.823;-0.31331675;0.10866817;0.65673718;10.382.901;0.61869471;0.7205458
0.49035976;0.74687185;-0.089152989;-0.6053309;11.205.268;13.667.253;-10.048.531;-0.2696246;10.449.029
10.790.096;-1.129.091;0.1454088;-13.193.802;-11.546.694;-0.77256432;0.63569491;-14.040.109;0.7159125
-1.500.773;-14.125.215;-0.27338036;-14.619.474;-0.90997951;-0.28614906;-0.43220432;-0.70917291;0.74373967
0.35632618;0.76704058;14.463.548;-0.55352793;-0.75261806;0.47111263;-0.69585338;0.13337845;0.60842976
0.89858787;-14.452.887;-0.75881716;-0.88806403;-11.997.394;11.764.582;0.94166065;-14.055.796;11.678.008
0.93041578;-0.17284376;14.261.002;0.014535499;-12.782.558;-0.45067336;-0.85324219;11.998.442;0.62858907
-13.502.953;0.98820109;12.557.008;-0.74609221;-14.340.439;-0.087202906;0.92890179;-0.10170859;0.45303457
0.4527369;-0.90467915;-0.6560396;-14.755.324;0.32379134;15.045.267;14.784.576;-0.38982384;0.56926471
0.21171635;0.36603547;0.93271233;0.45908178;0.72250275;-0.099226378;-15.603.625;-15.486.209;0.6652513
-11.077.959;0.71964731;-0.45128715;0.035850112;0.84809644;0.48796132;10.021.802;0.42308546;0.88354873
14.932.243;-0.019452115;-0.97852796;-0.65296146;0.55104805;-15.325.753;15.645.095;13.730.916;0.95031461
-15.625.835;-0.20606466;0.11811352;-0.7402019;0.04939721;-0.074401238;-0.41970084;-0.58943192;10.265.133
13.733.256;-12.936.232;-0.3525603;0.13362458;0.83844914;-0.10772521;-10.365.666;-114.059;11.588.303
0.20163457;10.370.009;-0.43724166;-0.41036509;-13.700.138;-0.9802034;-14.438.094;0.10162277;10.693.738
-0.9062268;-0.68167367;-0.53533405;-12.102.126;-10.888.915;0.23329302;-0.4432385;-10.525.142;0.83039619
-0.51265558;0.49909422;0.16195063;-13.726.106;-12.222.967;0.24818172;-0.79334298;0.70124526;0.41912061
11.863.441;0.22413667;12.850.379;-0.75206166;-0.26598783;-0.84493115;-0.79616932;-14.265.435;0.47557247
-0.80256488;0.29544503;-0.81722121;-12.731.202;0.028831417;-0.75897931;-11.746.034;0.71908694;0.49736845
12.908.576;-13.133.109;0.0061770056;0.055832337;0.76435692;-12.990.784;0.20839814;-0.012751933;10.264.508
-0.39545696;0.013155704;0.14437473;-0.96212308;0.57444517;0.45828786;-0.32825582;-0.69343524;0.9782716
11.649.336;11.964.332;11.966.187;-0.62520494;0.58574152;-0.7411646;-0.35880671;0.7425974;0.57842523
0.63302167;-0.88183697;-0.90551866;0.80808337;-11.936.706;-0.33860225;13.934.458;-0.71312657;0.58093436
-13.791.493;1.000.102;-11.772.905;0.35213979;0.18920069;-14.638.006;-0.92955719;-0.34234716;0.98537934
-0.69180059;11.937.546;-0.97109319;-0.34710836;0.60415176;-0.28528856;0.072498994;1.568.978;0.98791406
-0.058148785;12.226.246;-0.58935426;0.087379417;0.3512078;-0.77449892;-0.44736455;-0.71553603;1.029.516
-0.271321;-0.50571634;0.16462488;14.620.988;-0.30315017;-13.849.616;-10.248.391;0.0026415012;10.206.416
15.004.257;-15.663.577;-0.89274289;-0.042446916;0.61832531;-0.9893254;0.88105258;0.41341364;12.638.494
0.091047385;0.77195489;-0.083242679;-0.26377699;-0.19494478;0.85793906;15.244.898;-0.9598315;0.49891086
0.27777029;-0.5318076;-10.509.681;-0.51270369;0.24423747;-0.52845439;-0.72883381;0.19025566;0.79357091
0.078574836;-0.25920968;15.541.934;0.37776737;-11.625.115;-0.45047493;-0.44002808;-0.5144953;0.58548774
11.383.566;0.85188825;-1.013.796;-0.02251018;-0.76562554;0.10619637;-0.24288007;-14.595.524;0.45039919
0.06070296;14.481.052;11.290.654;-13.374.796;0.094996727;0.41767999;-11.565.433;-11.411.437;0.74375677
-0.78296521;0.38524007;0.98258859;-0.92399359;0.6809143;-15.120.094;-0.98947782;0.22071134;0.37220275
0.83541005;-0.092553138;-0.98620899;-0.66777588;-0.6954561;0.0017808928;14.377.355;-0.72549102;0.7919905
0.95906077;-0.45223291;-0.17157563;-15.403.371;13.355.649;-14.844.607;-11.103.471;-0.80647759;0.34868246
-0.57753765;-11.659.359;0.31042411;1.419.228;0.15996126;11.981.774;-0.54387493;15.035.262;0.67767497
0.84606999;13.697.834;-0.88739803;-11.475.795;-0.7344693;0.15836366;11.286.422;-12.065.423;0.88772821
10.499.939;0.35889978;-1.358.311;-11.313.242;-0.90797137;0.68902311;0.1537848;0.62497658;0.57439772
0.9209084;0.17069759;0.82098665;-1.247.024;-15.592.243;0.5009293;-0.86968528;-15.044.889;0.36680863
-0.91948692;0.64031238;0.4476455;-11.677.928;12.828.927;-0.34962404;1.030.173;0.73448752;0.90135057
-0.3224244;-13.662.799;-0.53646043;-15.639.808;0.82715104;-13.529.623;0.80079682;12.142.549;0.84967434
0.26051621;-11.649.245;0.080468745;-0.11923985;0.38004114;-0.390499;0.40927029;0.19648593;10.170.414
-0.88429872;-0.48131825;15.533.482;0.27201273;0.49352671;-0.32964154;-14.822.196;0.52508943;0.7785485
0.46626809;0.085293305;0.48767061;0.7006383;0.89878814;14.840.173;11.651.069;0.44423068;0.19861439
14.356.913;0.95832685;-0.13527275;0.93859583;11.548.196;0.77533182;0.4046756;-13.807.124;0.37256716
-0.90986612;-0.34613031;0.98397413;10.434.161;0.29337595;-0.32439036;-0.16534494;13.115.824;0.70499285
11.532.145;0.81750207;0.30946162;0.32473869;-1.530.838;-13.654.473;13.571.637;-0.78951041;0.18296885
-15.497.997;-15.689.764;-1.355.986;0.9367846;0.84964916;0.26222661;-12.534.271;0.78598733;10.710.455
-0.53891554;0.74236073;-0.94276092;-11.236.188;1.514.811;-0.41179343;11.703.308;-0.30805502;1.242.832
-0.34178817;-15.491.632;12.105.446;-0.54803066;-0.037961816;-0.083541807;0.23798071;-0.13607619;0.81440241
15.391.904;0.73454478;0.66945576;0.39836884;-0.28094013;0.20476093;0.4944178;0.046896325;0.5280323
12.987.018;-0.96504139;14.995.833;0.65111788;0.053037557;13.729.462;0.16732088;-0.35321704;0.56530846
-0.50487243;0.5921769;-15.019.695;11.710.368;-0.81008697;0.10885053;0.43653405;10.913.897;0.48611094
0.050902143;0.15155428;-0.90362327;-0.46178942;0.53090827;1.044.007;12.089.433;-0.77218192;0.34174725
0.9991183;-0.65889805;-0.73749043;-15.609.154;0.85207854;0.83146976;-1.110.629;-0.14229727;10.606.276
0.36860216;0.014587765;-14.186.562;11.344.967;15.047.009;0.7081611;10.022.789;-0.83828038;0.40826582
-0.12427027;0.13233697;13.331.025;11.605.784;-0.31284468;-14.309.014;0.081426142;10.646.358;0.71299001
0.54865771;-0.060065884;-0.38429766;-0.30741953;10.455.972;-0.26799629;-12.052.202;-1.177.844;0.99531841
0.71566765;-10.760.698;0.22368086;11.199.518;-0.71640962;0.83015141;0.85279771;-0.84885745;0.30630796
-0.93199506;0.64300445;-10.821.711;-13.940.877;10.281.724;0.54170978;10.254.785;-0.77492308;0.83678549
-0.0600216;-0.10289679;-13.694.779;-0.43369581;-14.068.767;0.18075312;0.44027914;0.91093583;0.41072942
-0.33178877;-15.103.635;-15.069.612;-0.63049183;13.907.688;-0.0024260456;13.208.062;11.175.215;12.873.227
-0.04693679;-0.6109219;0.023035207;-0.084170629;12.012.865;0.066156795;0.29566649;-13.987.545;0.75687533
-0.32686669;-10.395.018;0.73682486;-0.93907533;-0.99334974;-0.2265528;-0.73285895;-0.3291208;0.66345183
0.9970781;-0.51060719;-0.34273835;0.32241884;-0.80569563;-0.062574294;10.244.561;0.81134652;0.52624194
0.63642769;10.561.335;12.775.043;-0.35389863;-10.621.018;0.74737975;-1.036.362;-13.527.666;0.33269584
-0.6828389;0.4377301;13.702.073;-0.93945666;-0.21554975;11.240.038;-11.469.224;-0.24241406;0.67948841
-0.23547458;-0.68022356;12.003.414;0.19656493;-0.48837544;0.73601658;0.48854608;0.39261816;0.30209506
0.78546748;-0.2617181;-1.169.718;-1.288.668;0.85552407;-13.611.508;-11.291.845;13.887.907;0.54174627
0.37961403;-0.46640233;0.63593656;-0.50374908;-0.27645476;0.21583337;0.15777287;-0.62880041;0.65301428
-0.40171187;-0.55032433;0.48750273;0.081463807;0.040423068;-10.280.278;0.1845049;0.069241147;0.93909566
-0.28877445;-0.45230072;0.18475923;-0.57219654;0.80648814;0.69662028;0.22187435;13.466.707;0.96890065
0.32841706;0.8360862;13.548.267;-0.49213842;-13.261.537;-0.61882188;-0.028270275;14.606.532;0.5334656
-0.072826857;-0.24312552;0.30959;0.44310652;0.93512016;12.739.447;-0.75802586;0.79350408;0.79787532
12.201.506;100.144;0.801694;-14.248.954;-0.82354309;12.350.808;-0.98234142;0.3622983;0.55029623
-12.463.046;-14.513.519;-0.21976644;0.14363386;0.56845669;15.001.093;-11.428.351;0.74104744;11.920.503
14.990.524;-15.459.835;0.89844168;13.110.644;0.4682734;10.561.304;0.067889655;15.110.501;0.38816808
-0.99973755;0.76884724;-15.265.895;-0.070959751;0.58138573;0.38494124;0.62329324;-0.41605555;10.982.846
-13.514.656;0.64503398;-0.0030834107;11.846.788;0.99688377;11.681.917;-15.220.806;0.53961948;10.318.971
-0.36737099;-0.550111;-15.574.016;-0.51716776;0.51184817;-11.558.994;0.38000953;-0.3934368;12.416.304
-11.746.302;-0.0083818104;0.50173841;0.74839702;0.95149005;0.40748432;-0.037705721;0.56026252;0.8858715
-0.24110622;0.49858284;0.68280318;-0.62833078;0.98660374;-0.083039833;0.88166451;0.97891214;0.8679192
0.38223788;10.541.168;-0.36499558;-14.624.595;0.52306686;-0.7833399;-0.75712651;0.055562612;0.63051629
-0.28498045;11.002.058;10.496.561;0.26396188;10.085.049;0.82103479;15.665.053;0.78780998;0.14444019
12.624.042;-0.25535593;15.267.715;0.47842489;10.487.243;1.256.837;-14.332.335;-10.906.354;0.43256556
-10.886.298;-0.351475;-0.080591198;15.515.718;-15.668.307;-0.41033937;13.768.719;0.88450454;0.58990018
0.035288556;-10.460.718;-0.46983246;-10.927.122;-0.89362726;-0.77794393;0.11373004;-0.14870313;0.62493139
-0.66625073;-0.97624311;14.897.844;0.53644369;0.76110472;0.40507008;1.372.385;14.541.846;0.1292041
-10.397.736;0.8204727;0.31279053;-0.36186998;-0.67830376;0.18152389;0.1018802;-11.096.304;0.6283536
12.049.775;12.345.242;1.185.947;0.17457398;0.58846801;0.38554439;0.13248939;-10.639.613;0.63104759
13.500.573;15.697.283;-11.941.579;-0.1826613;0.64810329;-12.611.203;-0.64008359;-0.052838925;0.87044008
-13.099.677;-0.67154142;14.229.283;-0.6525126;0.77030623;0.6760756;-10.717.278;10.069.039;0.75727966
-0.3461389;11.457.365;13.524.239;0.52074765;0.033466357;-0.3380707;13.633.159;-0.72632003;0.18731928
0.67302731;-15.693.773;0.765123;-0.27140916;0.12397626;11.869.194;-1.526.999;0.96827647;0.76878095
-13.052.181;0.28725877;0.88358883;0.01882178;0.79300383;-0.55857332;-0.6021438;0.37275352;0.8033777
0.94067937;-0.66972885;0.16905883;-0.96319483;13.793.875;-0.86294676;-11.609.858;0.53263474;0.47028749
15.039.145;0.19362698;13.719.192;0.2114508;15.538.751;11.870.133;-0.25645649;-15.469.915;0.25499318
-0.962817;-0.40129645;-14.444.783;0.71223541;-0.080922319;10.198.799;0.00083621787;-0.46514221;0.84448389
0.27846738;0.40991354;0.88107273;10.725.113;0.24819771;0.59136941;14.879.432;-13.626.674;0.51541627
-0.77179229;-0.095903733;-12.784.378;-0.76116578;-0.57606941;-0.8535319;0.78323556;-0.14069794;0.82751958
0.12304018;-0.21700564;-13.524.592;-0.34794406;0.38994305;-0.79857066;0.56679748;0.90895577;11.058.348
0.76838814;0.17529259;-13.582.908;-13.918.967;0.41057068;-0.69320462;0.85634694;-0.74551237;10.341.341
-0.78795265;-0.67127601;11.611.514;-13.095.439;15.238.928;14.770.394;0.98706815;-11.549.761;0.57485832
-13.071.638;-0.67672898;-0.101194;0.4930653;-13.388.806;-0.26364622;-10.963.612;0.21747778;11.330.077
-0.34470131;-12.185.366;-11.659.333;-0.57294802;0.66263117;-14.563.179;-11.009.647;14.768.649;0.70460224
-0.29812906;0.098681254;1.414.311;-0.5558766;-0.10387334;-0.18592527;0.067157014;-0.054994544;0.63054751
0.18520699;-0.22508643;10.341.359;0.47859922;0.92635761;10.386.495;0.87616526;-0.66505822;0.22181899
-0.54450268;-0.55005;14.312.255;13.399.205;-0.44086862;-12.478.082;10.646.929;0.15315097;0.42851042
0.0028284534;10.168.825;-0.56797899;11.080.491;13.382.247;13.605.363;-0.21751464;10.440.319;0.95794838
0.41392583;0.48044888;12.772.665;-0.38021219;0.88060506;-11.187.144;10.453.008;12.483.468;0.70291717
13.652.548;10.111.719;0.51609909;-0.22687368;0.28625893;0.19842916;0.5843633;14.093.582;0.70881577
-0.35467058;-12.501.734;0.14008867;0.82754214;13.755.384;-13.725.029;0.77538448;-0.52537559;10.887.926
-13.471.461;-0.6919341;14.173.357;0.67008879;-0.30587176;10.584.461;0.56070198;10.294.399;0.37486332
-0.025924725;0.83953638;-15.367.544;-0.42728805;-11.410.812;-15.352.305;-10.597.779;10.453.829;10.209.201
0.96453267;11.953.023;-11.980.217;0.25052548;12.709.809;-0.71855406;11.430.927;-11.767.282;0.89204144
0.28255206;-10.396.131;-0.68335507;0.84763092;-14.538.431;-0.45596753;11.195.727;-0.94560864;0.51291182
-12.355.994;0.76023888;0.51405603;-0.98980291;0.56621897;-11.018.031;-14.815.117;0.47281682;0.25443756
-0.7911231;0.47761345;0.3598461;-0.8844537;0.55801752;-14.581.219;0.49626755;15.444.676;0.34587937
-11.858.535;0.4800017;0.3674979;10.030.614;0.94643297;0.90933131;-0.15985416;-11.123.227;0.17320341
-0.37562009;-0.22135477;0.16598269;0.66658643;0.81536712;-0.7169011;-0.60718809;0.80992088;0.88473679
15.544.232;-0.66392283;-0.063246814;0.39879992;0.24797386;-0.94890575;-11.173.543;-0.18068313;0.79694299
-0.29359001;0.38606582;-11.308.781;-15.285.309;-11.968.199;-15.347.119;10.666.748;11.788.037;0.63920641
10.746.992;12.194.313;-0.03249521;-12.164.726;0.66532982;-14.279.583;-14.664.949;12.705.083;0.60757783
14.536.093;-0.76912293;0.4901191;0.23027583;12.701.033;-10.681.077;15.553.763;0.027502811;0.73284907
-13.538.678;10.046.814;0.17572679;-0.19628964;-0.49673854;-0.62508999;0.016410056;0.42562264;0.83287674
0.099054174;-0.38035203;0.34313703;-0.36766132;-14.729.286;-0.401565;-0.65634101;0.033224298;0.64293068
-0.24060929;0.56454533;-0.85997166;0.22889292;0.23948401;-0.96197789;-0.99158117;-0.80271358;0.97337835
-0.69059067;0.70351312;0.92418287;-14.476.294;0.62757381;-13.266.837;0.64432552;-12.083.149;0.77723151
14.275.118;-100.979;0.70738182;13.276.726;13.065.683;14.511.947;0.1091885;-0.89332341;0.19624321
-0.15296134;-0.65618419;11.796.229;-0.5398639;-0.23987303;-10.961.639;0.44097151;-0.41520747;0.77950798
-0.99842662;-14.974.191;-0.66836576;-0.57303523;-0.88268297;-0.92816955;0.39107136;-0.91471336;0.77374436
-13.099.176;0.17587934;11.119.814;11.199.217;-0.65217014;14.035.261;0.52448317;13.670.841;0.27810453
0.49666334;-0.23469241;-0.2627722;12.427.038;-0.0067066404;-11.563.283;-0.32042079;-10.263.624;0.88071387
0.20902026;13.650.465;0.6669725;0.81562647;0.37883011;-0.51730815;-0.62240891;0.41304261;0.94304251
0.70299536;-0.71523866;0.60426739;14.653.589;-10.106.972;15.303.745;0.67692184;-0.91266483;0.6574456
-0.2869857;-12.826.414;-0.84710585;13.425.569;-0.19670124;0.78541635;13.184.305;12.391.355;0.76071097
-1.023.924;0.25404517;0.38995957;14.354.934;-10.022.257;-0.47966168;12.077.112;0.53273048;0.3820446
0.55453755;0.31268075;0.68821006;-10.946.107;0.81202586;-0.34711107;0.17248644;0.062048254;0.84463895
-0.99276364;-0.65917965;-0.59761307;0.045034939;0.64019081;0.041720868;-0.71038129;-0.163764;13.190.197
-0.37983207;15.648.722;-0.41117382;-0.2216091;-0.26783969;0.62746381;-13.262.934;-0.34637762;0.85623179
-0.12137803;-0.60590849;0.90544386;13.447.912;0.32067456;-0.54222189;-14.125.948;-0.19745605;0.78286046
-11.068.692;15.393.484;-0.079856306;128.792;-1.395.722;0.63693338;-0.46446172;-11.219.245;0.31169658
13.615.634;0.8136155;-0.68486468;0.49793849;0.37223829;15.332.275;0.64954184;-0.34630491;0.47666326
0.43454064;-0.91710549;0.27480596;-0.35061491;12.979.504;-1.529.836;-0.1846963;10.245.802;0.57188389
-0.87835097;-11.384.067;0.52261345;0.84302487;-0.56750418;-11.593.027;-0.29720558;10.493.756;0.90425493
-0.1008224;-0.90200538;-0.32886191;0.13617622;-0.16744438;-0.24351176;-0.0018490765;-0.045579918;10.274.773
-12.036.093;13.217.581;-11.206.061;-15.072.856;0.62937717;0.79312041;0.33849747;0.48691812;12.359.896
-0.34586875;0.58675895;-0.17810789;0.85379799;0.19970649;0.19708019;-0.29726216;-0.21595156;0.7753272
-10.697.509;0.19841498;0.47850033;-10.124.863;12.460.158;10.880.516;-0.95273693;-0.95827894;0.95151883
0.031992814;15.308.146;-0.32210478;11.493.946;-0.068557053;-0.32813501;0.048155725;11.514.124;0.89676779
0.49087602;-12.434.142;-0.65081904;0.22207027;0.72612159;-14.700.569;-11.776.325;-0.42280096;0.57109285
0.33088042;-0.18804455;0.71003224;0.12288808;-11.618.724;13.806.642;-0.43500877;0.26682562;0.35458093
0.48827434;-0.022466572;-1.398.586;135.352;0.54978064;10.204.008;-0.70626532;14.854.078;0.91995074
0.58679358;-0.60455783;-0.63941622;0.33823862;0.73927112;-0.078473877;-12.642.526;-0.98748527;11.103.437
0.78032176;-0.89280775;0.71998288;-1.506.263;-0.069185208;0.55845964;14.389.906;0.36900441;0.69136767
-12.814.387;-11.734.174;-0.66266324;-0.80798174;-0.40650287;-10.476.804;1.134.519;0.35327986;0.94162282
-15.225.121;12.926.962;-0.43517784;13.558.883;0.87022953;0.26301693;15.342.802;-0.035465091;0.32452252
-0.58805653;-0.91001154;-0.40632114;-0.69883236;-13.077.511;0.30468744;0.45549108;0.84082445;0.6144827
-0.015530458;-12.908.824;0.78303894;11.394.824;-0.79035762;0.085796154;-0.62271469;0.85282182;0.83284773
-0.26821004;-0.022452769;0.40381266;0.13183361;-0.88674142;-0.015070796;-13.207.155;14.306.766;0.63621189
0.37932348;-0.37257699;10.391.813;0.90465246;0.25253576;11.741.443;12.289.652;-0.36789997;0.53142016
0.99822149;-0.70735599;14.064.279;-0.81455634;0.076872901;15.004.783;-0.75404124;-0.64045941;0.37036887
10.037.857;-0.74548562;0.49004645;0.81240908;0.80826078;0.97522999;0.013601527;-11.049.369;0.24448121
0.27364077;-0.7053734;-10.451.784;0.79766394;0.19226925;10.015.914;-0.7354006;-0.72006465;0.73521923
-0.21121773;11.599.367;14.728.285;11.620.307;-12.295.632;10.932.824;-0.85230964;-0.7116173;0.43568442
0.063242754;14.734.772;12.201.431;-10.309.821;0.12830782;-0.37779452;0.89433594;-0.10872758;0.83570298
10.626.484;-0.44357075;-13.721.668;13.082.703;13.369.016;-0.43370651;-14.167.407;10.224.542;0.65874826
-0.022049427;-0.094220409;0.42482403;0.091403013;0.63503192;-0.81029849;-10.304.184;-0.12479275;0.81871437
0.12321689;-0.19970896;-0.82269095;-0.028374034;0.99124276;0.11737922;13.574.815;11.922.172;1.047.471
0.5967403;-12.874.945;-0.81747438;0.6396905;-0.048838274;-0.12766859;0.94612077;0.5166591;0.93383513
1.450.449;0.36936896;-11.071.793;0.74816769;-0.86919566;-0.018176162;-12.901.837;0.12736461;0.88461958
